"Lect","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition"
"Central Kurdish","McCarus, Ernest N.",2009,"Kurdish","Routledge","","The Iranian Languages","Windfuhr, Gernot","","587--633","",,""
"Central Romani","Beníšek, Michael",2017,"Eastern Uzh varieties of North Central Romani","","Univerzitá Karlová v Praze","","","","","",,""
"Central Siberian Yupik","De Reuse, Willem Joseph",1988,"Studies in Siberian Yupik Eskimo Morphology and Syntax","","University of Texas at Austin","","","","","",,""
"Chak","Huziwara 藤原, Keisuke 敬介",2008,"Chakku-go no kijutsu gengogakuteki kenkyū チャック語の記述言語学的研究 [A descriptive linguistic study of the Sak language]","","Kyoto University 京都大学","","","","","",,""
"Chaldean Neo-Aramaic","Khan, Geoffrey",2002,"The neo-Aramaic dialect of Qaraqosh","Brill","","","","","","",,""
"Chechen","Johanna Nichols",1994,"Chechen","Caravan Books","","The indigenous languages of the Caucasus","Smeets, Rieks","","3--76","4",,""
"Chintang","Paudyal, Netra Prasad",2015,"Aspects of Chintang Syntax","","Universität Zürich","","","","","",,""
"Chitral Kalasha","Bashir, Elena L.",1988,"Topics in Kalasha Syntax: An Areal and Typological Perspective","","University of Michigan","","","","","",,""
"Chitwania Tharu","Prasad, Paudyal Krishna",2014,"A Grammar of Chitoniya Tharu","LINCOM","","","","","","",,""
"Chong of Chanthaburi","Siripen, Ungsitipoonporn",2001,"A phonological comparison between Khlongphlu Chong and Wangkraphrae Chaong","","Mahidol University","","","","","",,""
"Chothe","Singh, Hidam Brojen",2000,"A descriptive grammar of Chothe","","Manipur University","","","","","",,""
"Chukchi","Dunn, Michael J.",1999,"A grammar of Chukchi","","Australian National University","","","","","",,""
"Chut","Nguyễn, Văn Lợi",1993,"Tiếng Rục [Ruc language]","Xuá̂t Bàn Khoa Học Xã Hội","","","","","","",,""
"Chuvash","Savelyev, Alexander",2020,"Chuvash and the Bulgaric languages","Oxford University Press","","The Oxford guide to the Transeurasian languages","Robbeets, Martine and Savelyev, Alexander","","446--464","",,"1"
"Cimbrian","Tyroller, Hans",2003,"Grammatische Beschreibung des Zimbrischen in Lusern [Grammatical description of Cimbrian in Luserna]","Franz Steiner Verlag","","","","","","",,""
"Continental Southern Italian","Ledgeway, Adam",2009,"Grammatica diacronica del Napoletano [Diachronic grammar of Napolitan]","Max Niemeyer","","","","","","",,""
"Corsican","Mathé Giacomo-Marcellesi",1997,"Corse [Corsican]","Lincom","","","","","","",,""
"Cosao","Bai 白, Bibo 碧波 and Xu 许, Xianming 鲜明",2015,"Cuosuoyu yanjiu 搓梭语研究 [Studies on the Cosao language]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Cypriot Arabic","Tsiapera, Maria",1969,"A Descriptive Analysis of Cypriot Maronite Arabic","Mouton and Co.","","","","","","",,""
"Czech","Bičan, Aleš",2011,"Phonotactics of Czech","","Masaryk University","","","","","",,""
"Daai Chin","So-Hartmann, Helga",2009,"A descriptive grammar of Daai Chin","Center for Southeast Asia Studies","","","","","","",,""
"Dagur","Martin, Samuel E.",1961,"Dagur Mongolian: Grammar, Texts, and Lexicon","Indiana University","","","","","","",,""
"Daman-Diu Portuguese","Cardoso, Hugo C.",2009,"The Indo-Portuguese language of Diu","","Universiteit van Amsterdam","","","","","",,""
"Dandami Maria","Pandey, Keshinath M.",1979,"A grammar of Dandami Maria","","Ravishankar Shukla University","","","","","",,""
"Danish","Basb∅ll, Hans",2005,"The phonology of Danish","Oxford University Press","","","","","","",,""
"Daohua","Acuo 阿错, Yeshes Vodgsal 意西微萨",2004,"Dàohuà Yánjiū 倒话研究 [A study of the Daohua]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Dari","Mitchell, Rebecca and Naser, Djamal",2017,"A grammar of Dari","LINCOM","","","","","","",,""
"Darma","Willis, Christina M.",2007,"A Descriptive Grammar of Darma: An Endangered Tibeto-Burman Language","","University of Texas at Austin","","","","","",,""
"Deori","Jacquesson, François",2005,"Le deuri: langue tibéto-birmane d'Assam [Deuri: Tibeto-Burman language of Assam]","Peeters","","","","","","",,""
"Dhimal","King, John Timothy",2008,"A Grammar of Dhimal","","Rijksuniversiteit te Leiden","","","","","",,""
"Dhivehi","Gnanadesikan, Amalia E.",2017,"Dhivehi: The Language of the Maldives","De Gruyter Mouton","","","","","","",,""
"Dhofari Arabic","Davey, Richard J.",2016,"Coastal Dhofari Arabic: A Sketch Grammar","Brill","","","","","","",,""
"Dimli","Todd, Terry Lynn",2008,"A Grammar of Dimili also known as Zaza","Iremet","","","","","","",,"3"
"Dolgan","Li, Yong-Sŏng",2011,"A study of Dolgan","Seoul National University Press","","","","","","",,""
"Domari","Matras, Yaron",2012,"A Grammar of Domari","De Gruyter Mouton","","","","","","",,""
"Dongxiang","Field, Kenneth Lynn",1997,"A grammatical overview of Santa Mongolian","","University of California at Santa Barbara","","","","","",,""
"Duhumbi","Bodt, Timotheus Adrianus",2017,"Grammar of Duhumbi (Chugpa)","","Universität Bern","","","","","",,""
"Dumi","Rai, Netra Mani",2016,"A grammar of Dumi","","Tribhuvan University","","","","","",,""
"Dungan","Lin 林, Tao 涛",2003,"Zhongya dongganyu yanjiu 中亚东干语研究 [Studies of the Dungan Language of Central Asia]","Xianggang Jiaoyu Chubanshe 香港教育出版社","","","","","","",,""
"Duoluo Gelao","Kang 康, Zhongde 忠德",2009,"Judou gelao yu cankao yufa 居都仡佬语参考语法 [Reference grammar of Judou Gelao language]","","Zhongyang Minzu Daxue 中央民族大学","","","","","",,""
"Dutch","Booij, Geert",1999,"The Phonology of Dutch","Oxford University Press","","","","","","",,""
"Dzongkha","Watters, Stephen",2018,"A grammar of Dzongkha (dzo): phonology, words, and simple clauses","","Rice University","","","","","",,""
"E","Wei 韦, Maofan 茂繁 and Wei 韦, Shuguan 树关",2011,"Wusehua yanjiu 五色话研究 [A study of Wusehua]","Minzu Chubanshe 民族出版社","","","","","","",,""
"East-Central Tangkhul Naga","Devi, Thokchom Lakhipriya",2011,"The Tangkhul grammar of Shangshak village","","Manipur University","","","","","",,""
"Eastern Armenian","Dum-Tragut, Jasmine",2009,"Armenian: Modern Eastern Armenian","John Benjamins","","","","","","",,""
"Eastern Balochi","Elfenbein, Josef",1997,"Balochi Phonology","Eisenbrauns","","Phonologies of Asia and Africa 2","Alan S. Kaye","","761--775","",,""
"Eastern Egyptian Bedawi Arabic","de Jong, Rudolf",2000,"A Grammar of the Bedouin Dialects of the Northern Sinai Littoral, Bridging the Linguistic Gap between the Eastern and Western Arab World","Brill","","","","","","",,""
"Eastern Katu","Hoành, Nguyên Hũu and Loi, Nguyên Văn",1998,"Tiếng Katu [The Katu language]","Xuá̂t Bàn Khoa Học Xã Hội","","","","","","",,""
"Eastern Kayah","Solnit, David B.",1997,"Eastern Kayah Li: Grammar, Texts and Glossary","University of Hawaii Press","","","","","","",,""
"Eastern Magar","Grunow-Hårsta, Karen A.",2008,"A descriptive grammar of two Magar dialects of Nepal: Tanahu and Syangja Magar","","University of Wisconsin-Milwaukee","","","","","",,""
"Eastern Mari","Zorina Зорина, Z. G. З. Г. and Krylova Крылова, G. S. Г. С. and Jakimova Якимова, È. S. Э. С.",1990,"Marijskij Jazyk dlja vsex Марийский язык для всех [Mari language for everyone]","Marijskoe Knižnoe Izdatel'stvo Марийское книжное издательство","","","","","","",,""
"Eastern Newari","Genetti, Carol",2007,"A grammar of Dolakha Newar","Mouton de Gruyter","","","","","","",,""
"Eastern Panjabi","Bhatia, Tej K.",1993,"Punjabi: A Cognitive-Descriptive Grammar","Routledge","","","","","","",,""
"Eastern Tamang","Lee, Sung-Woo",2011,"Eastern Tamang Grammar Sketch","","Graduate Institute of Applied Linguistics","","","","","",,""
"Eastern Yiddish","Kleine, Ane",2003,"Standard Yiddish","","","","","Journal of the International Phonetic Association","261--265","33",2,""
"English","Gut, Ulrike",2009,"Introduction to English Phonetics and Phonology","Peter Lang GmbH","","","Huber, Magnus and Mukherjee, Joybrato","","","",,""
"Enu","Dai 戴, Qingxia 庆厦",2009,"Ximoluoyu yanjiu 西摩洛语研究 [A study of Ximoluo]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Ersu","Zhang, Sihong",2013,"A reference grammar of Ersu: a Tibeto-Burman language of China","","James Cook University","","","","","",,""
"Estonian","Erelt, Mati",2003,"Estonian language","Estonian Academy Publishers","","","","","","",,""
"Estonian Swedish","Lagman, Herbert",1971,"Svensk-Estnisk Språkkontakt: Studier över estniskans inflytande på de estlandssvenska dialekterna [Swedish-Estonian Language Contact: Studies on the Estonian influence on the Estonian Swedish dialects]","Almqvist \& Wiksell","","","","","","",,""
"Evenki","Chaoke 朝克, D. O.",2009,"Ewenkeyu cankao yufa 鄂温克语参考语法 [Evenki reference grammar]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Faifi","Alfaifi, Ali Hassan Jobran",2016,"Aspects of the morphosyntax of the Faifa dialect of Saudi Arabic : a descriptive study","","Ulster University","","","","","",,""
"Faroese","Árnason, Kristján",2011,"The phonology of Icelandic and Faroese","Oxford University Press","","","","","","",,""
"Fars Dialects","Angali, Koorosh",2004,"The Angali Dialect","","University of California at Berkeley","","","","","",,""
"Finnish","Hakulinen, Auli and Vilkuna, Maria and Korhonen, Riitta and Koivisto, Vesa and Heinonen, Tarja Riitta and Alho, Irja",2004,"Iso suomen kielioppi [Big Finnish grammar]","Suomalaisen Kirjallisuuden Seura","","","","","","",,""
"Forest Enets","Siegl, Florian",2013,"Materials on Forest Enets, an indigenous language of Northern Siberia","Suomalais-Ugrilaisen Seuran Toimituksia","","","","","","",,""
"French","Walker, Douglas C.",2001,"French Sound Structure","University of Calgary Press","","","","","","",,""
"Friulian","Byron W. Bender and Giuseppe Francescato and Zdeněk Salzmann",1952,"Friulian Phonology","","","","","Word","216----223","8",3,""
"Gagauz","Özkan, Nevsat",1996,"Gagavuz Türkçesi Grameri [Gagavuz Turkish grammar]","Akçağ Yayınları","","","","","","",,""
"Galician","Regueira, Xosé L.",1996,"Galician","","","","","Journal of the International Phonetic Association","119--112","26",2,""
"Galo","Post, Mark",2007,"A Grammar of Galo","","LaTrobe University","","","","","",,""
"Gan Chinese","Li, Xuping",2018,"A Grammar of Gan Chinese: The Yichun Language","DeGruyter Mouton","","","","","","",,""
"Gata'","Ashirvadam, K.",1992,"The Structure of Didayi, an Austro-Asiatic language","","Osmania University","","","","","",,""
"Georgian","Butskhrikidze, Marika",2002,"The consonant phonotactics of Georgian","","Leiden University","","","","","",,""
"German","Hall, Tracy Alan",2011,"Syllable Structure and Syllable-Related Processes in German","Max Niemeyer Verlag","","","","","","",,""
"Gheg Albanian","Halimi, Halit",1990,"Phonetique et phonologie de l'albanais-dialecte guegue-en vue d'une etude contrastive avec le francais standard [Phonetics and phonology of Albanian - Gheg dialect - from the view of a contrastive study with standard French]","","Sorbonne Nouvelle University Paris 3","","","","","",,""
"Gilaki","Rahmani, Monireh",1985,"Ethnography of Language Change: An Ethnolinguistic Survey of the Gilaki Language","","University of Oklahoma","","","","","",,""
"Gilit Mesopotamian Arabic","Erwin, Wallace M.",1963,"A short reference grammar of Iraqi Arabic","Georgetown University Press","","","","","","",,""
"Goan Konkani","Dhongde, Ramesh Vaman",2022,"Konkani","John Benjamins Publishing Company","","","","","","",,""
"Godoberi","Kibrik, Aleksandr E.",1996,"Godoberi","Lincom","","","","","","",,""
"Godwari","Baldota, A.N.",1982,"Descriptive analysis of Sirohi","","Deccan College","","","","","",,""
"Guiqiong","Lì, Jiāng",2014,"A Grammar of Guìqióng: A language of Sichuan","Brill","","","","","","",,""
"Gujarati","Cardona, George",1965,"A Gujarati reference grammar","The University of Pennsylvania Press","","","","","","",,""
"Gulf Arabic","Leung, Tommi Tsz-Cheung and Ntelitheos, Dimitrios and Al Kaabi, Meera",2020,"Emirati Arabic: A Comprehensive Grammar","Routledge","","","","","","",,""
"Gurani","Bailey, Denise",2018,"A grammar of Gawraĵū Gūrānī","","Universität Göttingen","","","","","",,""
"Hadrami Arabic","Al-Saqqaf, Abdullah Hassan Shaikh",2000,"A descriptive linguistic study of the spoken Arabic of Wadi Hadramawt, Yemen","","University of Exeter","","","","","",,""
"Hakka Chinese","Hashimoto, Mantaro J.",1973,"The Hakka Dialect: A Linguistic Study of Its Phonology, Syntax and Lexicon","Cambridge University Press","","","","","","",,""
"Halbi","Kaushikkar, Chitra Vijay",1972,"A descriptive analysis of Halbi: An Indo-Aryan language","","Deccan College","","","","","",,""
"Halh Mongolian","Jan-Olof Svantesson and Anna Tsendina and Anastasia Karlsson and Vivan Franzen",2005,"The Phonology of Mongolian","Oxford University Press","","","","","","",,""
"Hijazi Arabic","Nakshabandi, Answer M.",1988,"A descriptive study of the phonology and morphology of the Abha dialect","","Georgetown University","","","","","",,""
"Hills Karbi","Konnerth, Linda",2014,"A grammar of Karbi","","University of Oregon","","","","","",,""
"Hindi","Kachru, Yamuna",2006,"Hindi","Benjamins","","","","","","",,""
"Hinuq","Forker, Diana",2013,"A grammar of Hinuq","De Gruyter Mouton","","","","","","",,""
"Hmong Njua","Harriehausen, Bettina",1990,"Hmong Njua: Syntaktische Analyse einer gesprochenen Sprache mithilfe Datenverarbeitungstechnischer Mittel und sprachvergleichende Beschreibung des Südostasiatischen Sprachraumes [Hmong Njua: Syntactic analysis of a spoken language using data processing technology and a comparative description of the Southeast Asian 蚊linguistic area]","Max Niemeyer","","","","","","",,""
"Hokkaido Ainu","Tamura, Suzuko",2000,"The Ainu Language","Sanseido","","","","","","",,"1"
"Honi","Yang 杨, Yan 艳",2016,"Haniyu wonihua yanjiu 哈尼语窝尼话研究 [A grammar of Hani Woni language]","","Shanghai Normal University 上海师范大学","","","","","",,""
"Hui Chinese","Lu, Wen",2018,"Aspects of the Grammar of Tunxi Hui: A Transitional Sinitic Language","","University of Hong Kong","","","","","",,""
"Hulaulá","Khan, Geoffrey",2009,"The Jewish Neo-Aramaic Dialect of Sanandaj","Gorgias","","","","","","",,""
"Hungarian","Kenesei, István and Vago, Robert M. and Fenyvesi, Anna",1998,"Hungarian","Routledge","","","","","","",,""
"Hunzib","van den Berg, Helma",1995,"A grammar of Hunzib (with texts and lexicon)","Lincom Europa","","","","","","",,""
"Icelandic","Árnason, Kristján",2011,"The phonology of Icelandic and Faroese","Oxford University Press","","","","","","",,""
"Ingrian","Markus, Elena and Rozhanskiy, Fedor",2022,"Ingrian","Oxford University Press","","The Oxford guide to the Uralic languages","Bakró-Nagy, Marianne and Laakso, Johanna and Skribnik, Elena","","308--329","",,""
"Ingush","Nichols, Johanna",2011,"Ingush Grammar","University of California Press","","","","","","",,""
"Irish","Raymond Hickey",2011,"The Dialects of Irish: Study of a Changing Landscape","De Gruyter Mouton","","","","","","",,""
"Iron Ossetian","Erschler, David",2021,"Iron Ossetic","Oxford University Press","","Handbook of the Languages of the Caucasus","Polinsky, Maria","","641--685","",,""
"Irula of the Nilgiri","Pillai, V. Chidambaranatha",1976,"Phonology of Kasaba with vocabulary","Annamalai University","","","","","","",,""
"Istro Romanian","Hurren, Anthony H.",1972,"A linguistic description of Istro-Rumanian","","University of Oxford","","","","","",,""
"Italian","Kramer, Martin",2009,"The Phonology of Italian","Oxford University Press","","","","","","",,""
"Iu Mien","Arisawa, Tatsuro Daniel",2016,"An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation","","LaTrobe University","","","","","",,""
"Japanese","Iwasaki, Shoichi",2013,"Japanese","John Benjamins Publishing Company","","","","","","",,"Revised"
"Japhug","Jacques, Guillaume",2021,"A grammar of Japhug","Language Science Press","","","","","","",,""
"Jarawa (India)","Kumar, Pramod",2012,"Descriptive and typological study of Jarawa","","Jawaharlal Nehru University","","","","","",,""
"Jejueo","Yang, Changyong and Yang, Sejung and O’Grady, William",2020,"Jejueo: The Language of Korea’s Jeju Island","University of Hawaii Press","","","","","","",,""
"Jennu Kurumba","Natanasabapathy, S.",1986,"The Language of Kattunaickas: A Linguistic Study","Annamalai University","","","","","","",,""
"Jerung","Opgenort, Jean R.",2005,"A Grammar of Jero","Brill","","","","","","",,""
"Jibbali","Rubin, Aaron D.",2014,"The Jibbali (Shaḥri) Language of Oman: Grammar and Texts","Brill","","","","","","",,""
"Jinyu Chinese","Li 李, Rong 榮 and Shen 沈, Ming 明",1994,"Taiyuan fangyan cidian 太原方言詞典 [Taiyuan Dialect Dictionary]","Jiangsu Jiaoyu Chubanshe 江蘇敎育出版社","","","","","","",,"1"
"Jiongnai Bunu","Mao 毛, Zongwu 宗武 and Li 李, Yunbing 云兵",2002,"Jiongnaiyu yanjiu 炯奈语研究 [A study of Jiongnai]","Central Nationalities University Press 中央民族大学出版社","","","","","","",,""
"Judeo-Iraqi Arabic","Bar-Moshe, Assaf",2019,"The Arabic dialect of the Jews of Baghdad: phonology, morphology, and texts","Harrassowitz","","","","","","",,""
"Judeo-Tat","Authier, Gilles",2012,"Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l'est","Reichert","","","","","","",,""
"Judeo-Tripolitanian Arabic","Yoda, Sumikazu",2005,"The Arabic dialect of the Jews in Tripoli (Libya): grammar, text and glossary","Harrassowitz","","","","","","",,""
"Judeo-Tunisian Arabic","Singer, Hans-Rudolf",1984,"Grammatik der arabischen Mundart der Medina von Tunis [Grammar of the Arabic dialect of the Medina of Tunis]","Walter de Gruyter","","","","","","",,""
"Kabardian","Colarusso, John",1992,"A grammar of the Kabardian language","The University of Calgary Press","","","","","","",,""
"Kachchi","Rohra, Satish Kumar",1966,"Descriptive analysis of Kachi (Kacchi)","","Deccan College","","","","","",,""
"Kadar","Indira, R.",1976,"Descriptive analysis of Kāḍar","","Deccan College","","","","","",,""
